topic,cluster,x,y
sample,5,6.334073,2.8266718
cell,2,14.834818,3.5332887
vaccine,1,7.153283,6.5250235
health,6,2.4427447,3.339549
cell,2,13.551921,5.043736
cell,2,14.286717,3.6116374
vaccine,1,6.596351,7.524527
patient,3,6.9797244,-0.9461904
protein,4,13.292699,12.327914
health,6,1.625145,0.4817848
cell,2,14.502726,3.7045276
cell,2,14.515192,4.075266
vaccine,1,10.273767,6.5096736
sample,3,6.292076,0.3147289
sample,5,5.2709546,2.0499647
drug,0,6.284305,11.60769
cell,2,14.184207,6.5374465
vaccine,1,9.187331,8.703334
sample,5,4.243421,2.7083452
cell,2,13.921382,3.103691
protein,4,13.395308,11.809145
patient,2,6.3168764,-2.5343704
sample,5,5.3086104,2.8718398
protein,4,13.435856,11.830474
cell,2,11.844449,5.4758754
drug,0,6.4811335,11.503091
health,6,1.1860906,0.5938905
vaccine,1,7.265881,6.717034
drug,0,6.216478,11.976319
vaccine,1,6.805708,7.257026
health,6,-1.1333554,2.5146556
vaccine,1,7.5780673,8.552283
sample,3,6.510867,-0.16029705
patient,3,5.5648084,-2.201367
health,6,9.15151,13.229345
drug,3,5.3601146,10.624566
patient,3,7.170875,-1.3548952
drug,0,5.3512416,10.808881
cell,2,13.986137,3.1225913
health,6,-3.2625344,4.740771
drug,0,6.7080765,10.986644
health,6,-0.3009958,1.850285
health,6,0.8341454,3.6581173
drug,0,11.372947,3.686584
drug,0,6.179174,11.889765
vaccine,1,10.272237,6.5038514
vaccine,1,8.568015,8.021746
health,6,5.17793,7.354288
protein,4,13.627626,8.802537
sample,5,5.207682,2.0624986
vaccine,1,6.572152,5.7872257
vaccine,1,7.857254,7.894487
sample,5,5.47286,4.0049014
sample,5,5.369321,3.9016805
drug,0,6.1032567,11.815553
sample,5,4.5362506,2.563252
patient,3,4.9742584,-1.9013519
protein,4,13.279338,13.355074
drug,0,5.678355,11.324431
cell,2,11.517688,5.7004714
sample,5,4.8940916,2.9068604
health,6,0.020325994,4.014089
cell,2,14.270696,5.6600757
vaccine,1,7.3225174,6.7421494
vaccine,1,7.3875723,6.9087267
patient,3,7.7883167,-3.47584
protein,4,13.483232,9.315947
drug,1,7.113225,9.839607
health,2,12.945509,3.747276
health,6,0.2524262,3.895398
sample,5,4.6431723,2.7386541
drug,0,6.4521823,11.910419
vaccine,1,6.550855,5.770772
patient,3,9.260226,-4.2349668
protein,2,13.747244,8.396227
protein,4,10.890714,12.976226
protein,4,11.966321,12.397931
health,6,1.6650562,3.4918845
protein,4,13.154403,13.167518
cell,2,12.276052,5.1511045
health,6,9.730248,13.062958
sample,5,4.2691674,2.6222875
sample,3,6.544006,-0.09360362
vaccine,1,7.248994,7.086213
cell,2,13.738836,4.8232927
vaccine,1,7.5597873,6.0952034
cell,2,14.138431,7.0115066
cell,2,11.606916,5.635056
protein,4,11.707852,12.494491
patient,3,8.223191,-3.2584622
sample,5,5.9648094,0.93754303
health,6,-2.5687788,4.164511
patient,3,2.772961,-0.3838654
health,6,1.9099535,0.06058331
patient,3,4.9906936,-1.9026266
sample,6,2.70606,3.2810762
